Month ,Region,Category,Sales Target,target margin %
2022-01 ,North,Electronics,204602.07 ,30.5%
2022-01,NORTH   ,home   ,150116.61,null
 2022-01 ,North ,Fashion, 216937.84,0.129
2022-01   ,NORTH   ,Sports,77343.39,14%
2022-01, north,Beauty,38576.45,0.116
2022-01,North      ,Grocery      ,128446.59 ,34.6%
2022-01, NORTH, ,ten,0.282
 2022-01,north   , PET,133896.37,0.138
2022-01   ,South,  Electronics,118460.66 ,0.205
2022-01,    South      ,Home ,-129838.31,0.172
2022-01,SOUTH,Fashion,176150.32,0.303
2022-01,South,SPORTS,219332.81 ,0.293
2022-01 ,South,Beauty,"77,849.71",0.2
2022-01,  South ,Grocery,"196,641.01",0.164
2022-01      ,  South,	  office      , 91284.33,0.266
2022-01,SOUTH,pet,$73438.41,0.087
2022-01  ,East,Electronics,242537.95,0.203
2022-01 ,East,  Home,103162.68,0.343
2022-01,  East,  FASHION,USD 166557.09,0.152
2022-01,  east,  SPORTS,247385.8,0.279
2022-01    ,East   ,Beauty, 119294.88,0.276
2022-01   , East   ,  grocery,189708.62,0.13
2022-01,east,OFFICE,229679.8,0.315
2022-01,east, pet ,42676.14, 0.194 
2022-01,west,Electronics,"192,597.42",18%
 2022-01,West,home, 135637.68,0.147
	2022-01,  west,Fashion,117477.81,0.166
2022-01, west, Sports  ,"74,140.52",0.165
2022-01, West,BEAUTY,169010.3,0.175
  2022-01 ,West,Grocery,USD 233622.98,0.178
 2022-01  ,  WEST  ,  Office,159397.63,0.341
2022-01, West,pet,166251.95,0.095
	2022-01,CeNtRaL,electronics ,54117.97,--
    2022-01,  Central,Home,USD 148042.17, 0.317 
2022-01,Central  ,Fashion,-43521.88 ,0.162
2022-01,Central,Sports,,0.189
	2022-01,Central,Beauty, 99600.13,N/A
  2022-01,	Central,  Grocery,183382.28, 0.195 
2022-01,Central,Office,63440.7,0.256
2022-01   ,Central,Pet,88049.70 ,21.5%
  2022-01 ,International,  Electronics,USD 142510.50,0.245
2022-01, International   , home,47428.33, 0.253 
2022-01,International, Fashion,207650.04, 0.325 
2022-01,International,Sports,183562.65,0.253
2022-01  ,International,Beauty,USD 167716.24,0.129
  2022-01,International,Grocery,USD 107607.37, 0.238 
2022-01,International  ,Office,187945.96, 0.272 
2022-01,INTERNATIONAL,  Pet,171831.55,17.2%
2022-02,North,electronics  ,$154893.45,30.5%
