Product ID,SKU ,Category ,Sub Category,Product Name ,Brand,List Price,Standard Cost ,Product Status,supplier name,launch_date 
P00001,SKU00001,Electronics, Phones ,LUMA NOVA X 1,Luma,564.94,466.28 ,ACTIVE, DELTA GOODS, 2024-07-12 
P00002, SKU00002 ,ElEcTrOnIcS   ,PhOnEs   ,Apex Nova X 2,APEX,1099.33,713.83,  Seasonal, Alpha Supply,2023-10-26 00:00:00
P00003,SKU00003,Electronics,Phones,Everly Nova X 3,Everly,238.25,101.97,Active   , ,03/28/2021
P00004,SKU00004,Electronics,phones,orbit pixelgo 1   ,Orbit,USD 91.84,USD 71.92,Active,ALPHA SUPPLY,07-Jul-2024
P00005, SKU00005 ,Electronics,NULL,Sierra PixelGo 2,Sierra,903.67,636.22,ACTIVE,Beta Wholesale,2021-02-19 00:00:00
p00006,SKU00006,Electronics,PhOnEs,LuMa pIxElGo 3,N/A,35.77,29.87,  Seasonal,ALPHA SUPPLY,2023-11-19
P00007,SKU00007,Electronics   , phones,  ZeNiTh iMaX MiNi 1   ,Zenith,1249.5,569.98,Seasonal,Delta Goods,"Sep 22, 2024"
P00008,SKU00008,Electronics,Phones,Nimbus iMax Mini 2  ,Nimbus, 276.83,error,Seasonal,DeLtA GoOdS,18-Mar-2022
P00009,SKU00009,Electronics  ,Phones,BlueRiver iMax Mini 3   ,BlueRiver,459.84,281.6,Active ,Delta Goods   ,06.10.2023
P00010,SKU00010,Electronics  ,Phones, apex zenphone pro 1   ,Apex ,650.76, 322.53,active,Nova Source ,
P00011,SKU00011,Electronics   ,	phones, ORBIT ZENPHONE PRO 2,Orbit      ,919.72, 386.05,Active ,  Gamma Imports,28.02.2022
P00012,SKU00012,  Electronics,Phones,NORTHSTAR ZENPHONE PRO 3, NoRtHsTaR,441.76,$235.54,Seasonal,Gamma Imports ,27-May-2024
P00013,SKU00013,Electronics,Phones,Apex TalkOne 1   ,APEX,$686.82,USD 510.02,  SEASONAL ,	Delta Goods,2024/03/17 00:00
 P00014 ,SKU00014,electronics,PHONES,Orbit TalkOne 2,OrBiT,303.51,184.27,Seasonal   ,,"Sep 27, 2024"
P00015,sku00015,  electronics   ,PhOnEs,Luma TalkOne 3  ,Luma,N/A,332.42,SEASONAL,Prime Traders,30/10/2022
P00016,SKU00016,Electronics,	LAPTOPS,NORTHSTAR NOTEBOOK AIR 1,Northstar,913.28,USD 397.52,Discontinued,Prime Traders  ,06/29/2022
P00017,SKU00017,Electronics, Laptops,Orbit Notebook Air 2,Orbit,102.25 ,84.30 ,  Discontinued  ,DELTA GOODS , 06/11/2022 
P00018,SKU00018, Electronics,laptops,TRUELINE NOTEBOOK AIR 3  ,TrueLine,1448.62,"1,092.55", DiScOnTiNuEd,Delta Goods,2021-01-06
P00019,SKU00019,electronics   ,Laptops,  Pulse PowerLap 14 1, Pulse,USD 460.40,USD 183.62,Active,  Gamma Imports,2024/07/09 00:00
