cat_id,name,breed,age_years,weight_kg,color,gender,vaccinated,neutered,microchipped,owner_city,diet_type,health_status,last_vet_visit,metric_15,category_16,value_17,metric_18,category_19,value_20,metric_21,category_22,value_23,metric_24,category_25,value_26,metric_27,category_28,value_29,metric_30,category_31,value_32,metric_33,category_34,value_35,metric_36,category_37,value_38,metric_39,category_40,value_41,metric_42,category_43,value_44,metric_45,category_46,value_47,metric_48,category_49
1,Smokey,,14,3.88,black ,,N,No,,London,,Checkup Needed,2024-01-05,32.91,B,91.0,77.98, ,64.0,N/A, ,21.0,86.41,B,61.0,67.17,Unknown,84.0,67.62,A,20.0,49.07,a,83.0,68.45, ,92.0,54.23,a,,64.95, ,,52.28,a,20.0,76.95,Unknown
2,Bella,British Shorthair,2,6.82,black ,,Yes,Yes,,New York,Wet,Healthy,,34.42,C,5.0,30.4,Unknown,9.0,50.86,D,72.0,6.54,C,15.0,21.77, ,,69.54, ,47.0,45.1, ,82.0,60.57, ,39.0,28.08,C,,53.44, ,68.0,error,a,99.0,58.81,D
3,Luna,Sphynx ,23,5.65,Gray,female,yes,,,Paris,,healthy,2024/01/05,52.99,D,14.0,65.98,b,36.0,36.66,A,24.0,61.92,C,,39.76, ,68.0,68.32,C,37.0,11.21,D,47.0,42.45,B,15.0,33.6, ,22.0,77.62,a,14.0,53.39,b,76.0,81.98,D
4,Leo, Scottish Fold,1,5.51,Mixed,M,no,No,Unknown, london,Wet,healthy,Jan 5 2024,24.85,b,32.0,55.31,A,70.0,61.94,Unknown,27.0,56.95,b,20.0,31.83,A,85.0,57.62,B,17.0,unknown,D,,32.22,D,91.0,45.7,D,93.0,59.17,b,2.0,39.72, ,34.0,36.91,Unknown
5,Lucy, Sphynx,5,2.88,Orange,Unknown,No,Yes,Unknown,TOKYO,dry,,2024/01/05,42.48,B,3.0,19.82,C,99.0,41.18,B,77.0,59.1,D,33.0,36.05,B,11.0,68.91,B,72.0,44.77,a,99.0,63.92,b,51.0,46.92,b,61.0,64.28,B,87.0,28.81,Unknown,,36.17,b
6,Leo,Ragdoll ,-2,1.41,Brown,,Yes,NO,,TOKYO,Dry,Checkup Needed,05/01/2024,6.44,C,,71.17,Unknown,59.0,50.82,a,92.0,58.4,a,86.0,55.53,a,89.0,51.93,a,19.0,63.54, ,62.0,85.27,Unknown,88.0,17.23,A,,83.47,D,75.0,46.36,b,44.0,36.95,D
7,Simba,Bengal ,-2,4.26,White,M,N,NO,,,Wet,Checkup Needed,,48.65,A,8.0,69.32,D,39.0,76.93, ,7.0,43.55, ,39.0,61.21,C,68.0,28.65,B,0.0,43.8,Unknown,26.0,53.37,a,37.0,-0.47,a,87.0,38.11,b,37.0,63.85,A,29.0,68.89,C
8,Shadow,MAINE COON,6,4.51,Mixed,,N,YES,No,,Dry,Healthy,2024-01-05,28.61,B,59.0,47.69,b,14.0,unknown,b,67.0,51.88, ,38.0,66.64,A,45.0,101.19,D,34.0,62.27,b,86.0,41.7,B,29.0,75.31,C,82.0,55.68,D,,37.17,D,,21.66,a
9,Leo,,1,5.13,White,female,yes,Yes,No,TOKYO,Wet,,2024/01/05,84.65,C,50.0,44.72,b,,26.6,B,26.0,68.8,B,10.0,52.27,A,83.0,40.55,A,52.0,68.03,B,6.0,59.99, ,33.0,68.26,A,99.0,63.92,B,99.0,5.16,D,11.0,60.05,a
10,Bella,Siamese ,4,3.94,White,Unknown,,NO,No, london,wet,Checkup Needed,2024/01/05,5.24, ,27.0,32.75,A,64.0,23.66,A,2.0,62.5,Unknown,75.0,24.97,A,,55.49,B,20.0,64.9,a,46.0,24.61,B,68.0,37.83,Unknown,37.0,27.87,Unknown,67.0,44.72,Unknown,90.0,15.03,C
11,Oliver,Sphynx ,3,4.3,White,Female,,,Unknown,Tokyo,dry,healthy,2024/01/05,106.88, ,67.0,30.47, ,38.0,40.85,b,,53.9,A,27.0,57.44,b,65.0,49.48, ,82.0,16.24,D,97.0,0.15,D,35.0,36.77,D,0.0,65.29,b,31.0,61.22, ,88.0,54.42,Unknown
12,Loki,MAINE COON,5,4.62,Mixed,Unknown,Y,YES,,Sydney,Mixed,Sick,2024-01-05,35.79,a,5.0,71.77,D,89.0,57.29,b,85.0,29.4,D,,62.82,B,67.0,39.51,C,21.0,44.18,a,51.0,61.64,B,6.0,62.15,C,8.0,39.95,a,30.0,74.9,Unknown,0.0,67.64,A
13,Simba,Unknown,17,4.31,Mixed,Unknown,Y,Yes,Yes,Sydney,Dry,SICK,2024/01/05,58.02,D,61.0,66.15,Unknown,79.0,64.08,a,29.0,45.92,A,,82.0,C,,21.43,b,95.0,20.38,C,8.0,error,a,,10.64,C,,54.04,a,35.0,28.61,B,31.0,37.81, 
