dog_id,dog_name,breed,age_years,weight_kg,height_cm,color,vaccinated,neutered,owner_city,owner_age,owner_income,diet_type,daily_walk_minutes,barks_per_day,vet_visits_per_year,last_vet_visit,adoption_date,favorite_toy,training_level,sensor_metric_1,sensor_metric_2,sensor_metric_3,sensor_metric_4,sensor_metric_5,sensor_metric_6,sensor_metric_7,sensor_metric_8,sensor_metric_9,sensor_metric_10,sensor_metric_11,sensor_metric_12,sensor_metric_13,sensor_metric_14,sensor_metric_15,sensor_metric_16,sensor_metric_17,sensor_metric_18,sensor_metric_19,sensor_metric_20,sensor_metric_21,sensor_metric_22,sensor_metric_23,sensor_metric_24,sensor_metric_25,sensor_metric_26,sensor_metric_27,sensor_metric_28,sensor_metric_29,sensor_metric_30
1599,Luna,Beagle,16.0,36.74,10.51,Black,No,Yes,Karachi,48,109299,nan,125,268,-1,,2017-09-27,Bone,nan,,96.10241701793453,66.00097471358299,86.64137939665687,,60.8750466653161,42.29878392914105,24.1907294548665,33.33452808910372,,,53.33375148572476,48.15767662154987,45.716836330418765,91.0557328259013,73.13153944173479,55.56440742313271,43.39989359768116,39.193918245822346,39.32634576194173,error,missing,error,nan,46.26,missing,nan,nan,error,error
1902,Cooper,Golden Retriever,6.0,6.35,44.84,nan,nan,nan,nan,46,106068,nan,52,274,2,05-28-2024,05-03-2021,Ball,None,,49.37844483049287,75.80740919265794,16.121405316626607,,67.56238019250031,71.0576806697741,81.25428474543035,,45.26645668199922,30.775269174946015,18.810885412298454,63.515294836182235,17.757386112485626,51.8869430244199,21.59093507088403,41.82273990313246,41.90075285517078,43.98828473024115,101.25794599682938,7.06,49.83,missing,,46.26,error,missing,error,missing,nan
6904,nan,Beagle,21.0,,17.16,Black,Yes,nan,Sydney,77,21474,Unknown,147,85,13,,26/09/2023,None,Intermediate,48.56162872068051,34.92180521801866,60.18271050391846,38.70972190855196,45.389821234003186,71.46503582591053,21.534617066690174,31.80555747763783,42.30122197529735,91.66448938248168,64.7894841489802,21.869665524987557,,47.0084682568521,44.86908178338429,,,37.68148851558493,72.94719604191937,26.6037161957172,,,,33.4,missing,60.19,nan,missing,missing,error
5197,Milo,Labrador,-1.0,,unknown,White,No,Yes,Berlin,48,92245,Raw,-9,80,1,10-30-2020,03-18-2017,Rope,Basic,39.62437083606808,,32.76941730635012,62.171000006828834,31.45638141490488,,17.29238302234161,,78.67082247673908,22.52004514465074,72.01729357963043,9.815340769361683,72.1624559447465,,16.36796389112388,,50.044478052569616,37.35612255749938,,92.93453817722376,,49.83,82.12,error,error,missing,,error,15.35,70.55
6704,Bailey,nan,21.0,unknown,41.41,White,Yes,No,Berlin,32,47683,Dry,-12,202,-1,,07-10-2022,Bone,nan,70.28323001101242,81.06850823961389,,27.161267065083635,,,41.917442294377445,,37.6641242774221,54.80576465660626,,,25.917488233657036,79.88576527438362,76.8728073522953,32.242438047864304,76.6111246217684,54.12352374523259,72.8663403365592,,missing,,nan,error,error,60.19,nan,,,nan
3277,Bella,Golden Retriever,20.0,48.91,39.14,Golden,nan,nan,Paris,71,58355,Mixed,122,264,12,09/02/2022,2025-07-15,Bone,Basic,69.48405402692227,35.47037081746885,70.27897880164728,,36.00167529247556,64.62867301496546,18.860807806378197,57.009029322537444,91.58586376567712,41.39337527001648,85.18643088158437,71.10634505244913,75.03718026699528,40.932774203145584,40.43800762191972,80.46076856101308,65.39489962479401,53.94605467373295,65.27838087534458,61.910386765151905,error,,missing,missing,nan,error,missing,missing,15.35,70.55
1205,Charlie,Boxer,4.0,7.14,,Golden,nan,nan,Toronto,31,121417,Mixed,185,159,6,04-23-2024,01-11-2022,Rope,nan,70.47154459352362,38.54085031025431,65.97577321288384,22.396610817635803,21.10175288167514,46.05868819360704,81.1280561183782,,46.92331223937187,54.623506319313506,45.15588270735297,62.388236712228355,45.991401842217705,56.829005845887934,80.71413031090478,56.543336707187315,43.17968183744325,51.09713957974455,85.1907719593508,33.734319724707255,error,nan,nan,missing,nan,,40.42,,15.35,
3683,Milo,Pug,21.0,49.66,,Black,No,No,New York,36,53235,nan,22,150,10,17/02/2018,,Bone,Intermediate,44.02302448280718,58.43765274875395,60.192007636041275,92.39324009380357,36.3630605565349,,41.07611639860029,90.61945437112016,71.32948812688363,,22.101009219570635,33.849299790738655,32.92562490539156,72.4478887909694,51.452310235852465,,97.07959365476258,72.00955108669606,,,nan,49.83,82.12,33.4,error,error,,66.28,error,missing
4687,Bear,Labrador,19.0,48.14,25.05,White,Yes,Yes,Dubai,71,65089,Dry,-4,268,10,05-24-2024,,Frisbee,nan,,,46.87964797787698,,56.08580716347977,,34.954030787196615,56.7103884898896,42.98080979261822,70.06957553596337,65.8690041171811,57.9886895781997,53.589908804256545,53.645823025492255,47.950160994385634,63.425349311106835,83.5016182739574,85.85106783562287,,40.31367450154538,nan,49.83,nan,error,46.26,60.19,missing,missing,nan,nan
5200,Cooper,Beagle,,unknown,26.66,,No,nan,Paris,29,54944,nan,163,54,7,2019-12-12,27/03/2023,Rope,nan,39.153810308890726,31.398599201692136,35.1343823892519,,29.643855761785424,74.28915694048275,35.27137382661822,39.1022058361702,40.88158137666913,23.81951919433613,75.1874593140549,38.960826163631246,54.95136726070157,23.165429858380797,61.2763696340979,30.45538830144933,58.32441857411017,97.46542467151708,41.359566560076516,,missing,error,82.12,33.4,,nan,error,66.28,missing,
