title_x,imdb_rating
Uri: The Surgical Strike,8.4
Battalion 609,4.1
The Accidental Prime Minister (film),6.1
Why Cheat India,6.0
Evening Shadows,7.3
Soni (film),7.2
Fraud Saiyaan,4.2
Bombairiya,4.3
Manikarnika: The Queen of Jhansi,6.5
Thackeray (film),5.1
Amavas,2.8
Gully Boy,8.2
Hum Chaar,5.6
Total Dhamaal,4.3
Sonchiriya,7.5
Badla (2019 film),7.9
Mard Ko Dard Nahi Hota,7.4
Hamid (film),7.7
Photograph (film),6.9
Risknamaa,6.7
Mere Pyare Prime Minister,6.8
22 Yards,5.3
Kesari (film),7.4
Notebook (2019 film),6.8
Junglee (2019 film),5.3
Gone Kesh,7.1
Albert Pinto Ko Gussa Kyun Aata Hai?,4.8
The Tashkent Files,8.0
Kalank,3.6
Setters (film),5.1
Student of the Year 2,2.5
PM Narendra Modi,3.3
De De Pyaar De,6.6
India's Most Wanted (film),4.4
Yeh Hai India,5.7
Khamoshi (2019 film),3.7
Kabir Singh,7.2
Article 15 (film),8.3
One Day: Justice Delivered,6.8
Hume Tumse Pyaar Kitna,7.4
Super 30 (film),8.2
Family of Thakurganj,9.4
Batla House,7.3
Jhootha Kahin Ka,4.8
Judgementall Hai Kya,6.0
Chicken Curry Law,6.0
Arjun Patiala,4.1
Jabariya Jodi,4.2
Pranaam,7.0
The Sky Is Pink,6.6
Mission Mangal,6.5
Saaho,5.5
Dream Girl (2019 film),7.5
Section 375,8.4
The Zoya Factor (film),4.1
Pal Pal Dil Ke Paas,4.6
Prassthanam,6.0
P Se Pyaar F Se Faraar,7.8
Ghost (2019 film),8.7
Bala (2019 film),8.2
Yaaram (2019 film),5.7
Housefull 4,3.3
Saand Ki Aankh,8.9
Made in China (2019 film),6.3
Ujda Chaman,8.1
Bypass Road (film),7.1
Satellite Shankar,4.6
Jhalki,7.2
Marjaavaan,3.6
Motichoor Chaknachoor,5.8
Keep Safe Distance (film),0.0
Pagalpanti (2019 film),3.1
Ramprasad Ki Tehrvi,7.6
Yeh Saali Aashiqui,7.9
Dil Bechara,6.6
Pati Patni Aur Woh (2019 film),5.7
Commando 3 (film),5.7
Mardaani 2,7.4
Dabangg 3,3.0
Good Newwz,6.9
Kaalakaandi,6.2
Vodka Diaries,5.6
My Birthday Song,5.5
Nirdosh,3.8
Mukkabaaz,8.1
Union Leader (film),7.6
Love per Square Foot,7.2
Aiyaary,5.2
Padmaavat,7.0
Kuchh Bheege Alfaaz,7.5
Jaane Kyun De Yaaron,4.4
Veerey Ki Wedding,2.8
Sonu Ke Titu Ki Sweety,7.1
Hate Story 4,3.3
Dil Juunglee,4.0
3 Storeys,7.1
Raid (2018 film),7.4
Hichki,7.5
Missing (2018 film),5.7
Baaghi 2,5.0
October (2018 film),7.5
Mercury (film),6.2
Beyond the Clouds (2017 film),6.9
Nanu Ki Jaanu,6.2
Daas Dev,5.1
Omerta (film),7.0
