Brand,Color,Fuel_Type,Transmission,Price
Honda,Red,Electric,Manual,29628
Ford,Blue,Petrol,Automatic,17082
Toyota,Blue,Diesel,Manual,48118
Mercedes,Red,Diesel,Automatic,29446
Nissan,Silver,Petrol,Manual,60753
Suzuki,Gray,Electric,Manual,29110
Kia,Blue,Petrol,Automatic,21338
Kia,Gray,Electric,Manual,62823
Nissan,Blue,Hybrid,Manual,51178
Hyundai,Gray,Diesel,Manual,18003
BMW,Silver,Petrol,Manual,71785
Honda,Green,Electric,Automatic,56660
Kia,Black,Electric,Automatic,28730
Hyundai,Blue,Diesel,Manual,25708
Nissan,Green,Electric,Manual,59866
Kia,Red,Diesel,Manual,67759
Kia,Green,Electric,Manual,28826
Mercedes,Gray,Diesel,Automatic,40928
Nissan,Black,Electric,Manual,31162
Audi,Silver,Hybrid,Automatic,38723
BMW,Black,Hybrid,Manual,64530
Toyota,Blue,Diesel,Manual,66909
Suzuki,Blue,Hybrid,Automatic,54052
Nissan,Silver,Petrol,Manual,59676
Audi,Silver,Electric,Manual,34234
Suzuki,Black,Hybrid,Manual,77509
Hyundai,Black,Petrol,Automatic,70159
Audi,White,Diesel,Automatic,64971
Ford,Red,Electric,Automatic,16276
Honda,Gray,Electric,Manual,18796
BMW,Blue,Petrol,Automatic,68478
Honda,Black,Diesel,Automatic,77052
Audi,Black,Electric,Automatic,78200
BMW,White,Electric,Automatic,59019
Kia,Yellow,Hybrid,Manual,31246
BMW,Blue,Electric,Manual,53555
Audi,White,Diesel,Manual,19652
Toyota,White,Petrol,Manual,71337
Kia,Blue,Diesel,Automatic,58842
Nissan,White,Diesel,Automatic,30925
Nissan,Green,Diesel,Manual,21352
Suzuki,Gray,Hybrid,Automatic,45606
Toyota,Blue,Petrol,Automatic,62724
Kia,Blue,Diesel,Manual,27465
Audi,Yellow,Diesel,Automatic,27025
Hyundai,Yellow,Diesel,Manual,44041
Audi,Blue,Petrol,Manual,78504
Honda,White,Diesel,Automatic,46826
Nissan,White,Hybrid,Manual,25789
Suzuki,Red,Hybrid,Automatic,75720
Nissan,Silver,Hybrid,Automatic,25144
BMW,Silver,Diesel,Manual,52957
Audi,Red,Electric,Manual,18286
Mercedes,Yellow,Diesel,Manual,77965
Audi,Blue,Diesel,Manual,53996
Honda,White,Hybrid,Manual,76708
Mercedes,White,Petrol,Manual,42474
Mercedes,Gray,Electric,Manual,58891
Kia,White,Electric,Automatic,23577
Hyundai,Yellow,Electric,Manual,15610
Nissan,Blue,Petrol,Manual,48153
Hyundai,Black,Electric,Manual,72623
BMW,Gray,Electric,Manual,43716
Audi,Silver,Petrol,Automatic,76063
Honda,Black,Electric,Manual,73308
Honda,Black,Electric,Automatic,54638
BMW,Gray,Diesel,Automatic,48122
Nissan,Silver,Petrol,Manual,56568
Suzuki,Silver,Petrol,Manual,36859
Ford,Silver,Diesel,Automatic,51154
Suzuki,Red,Petrol,Manual,76934
Ford,Red,Electric,Manual,43166
Ford,Red,Electric,Automatic,73915
Toyota,Gray,Diesel,Manual,58708
Honda,Gray,Hybrid,Manual,75670
BMW,Black,Diesel,Automatic,16624
Ford,Gray,Hybrid,Manual,32485
Ford,Blue,Hybrid,Manual,71268
Nissan,White,Diesel,Automatic,37915
Hyundai,White,Diesel,Manual,58255
BMW,Green,Electric,Automatic,71646
Honda,Silver,Electric,Automatic,59532
Audi,Gray,Petrol,Manual,72477
Hyundai,Black,Electric,Manual,22104
Mercedes,Green,Electric,Automatic,43599
Mercedes,Blue,Hybrid,Manual,31693
Toyota,Green,Petrol,Manual,38869
Suzuki,Blue,Electric,Automatic,58475
Honda,Silver,Electric,Automatic,36376
Suzuki,Silver,Diesel,Manual,42554
Suzuki,Black,Electric,Automatic,50909
Toyota,Silver,Electric,Manual,43173
Mercedes,Gray,Hybrid,Automatic,43977
BMW,Yellow,Diesel,Manual,33598
Audi,Gray,Petrol,Manual,59092
Hyundai,White,Diesel,Manual,16600
Toyota,White,Hybrid,Manual,44846
Suzuki,White,Hybrid,Automatic,41191
BMW,Black,Petrol,Manual,66014
Suzuki,White,Diesel,Automatic,18291
Audi,White,Petrol,Automatic,23738
Nissan,Gray,Hybrid,Automatic,69432
Audi,Yellow,Diesel,Automatic,44495
Hyundai,White,Electric,Automatic,56074
BMW,Silver,Hybrid,Manual,61762
Hyundai,White,Electric,Automatic,35952
Audi,Blue,Diesel,Manual,30155
Suzuki,Black,Diesel,Manual,42188
Suzuki,Gray,Hybrid,Automatic,19080
BMW,Green,Hybrid,Manual,71146
Mercedes,Green,Hybrid,Manual,76783
Kia,Silver,Hybrid,Automatic,50272
Audi,White,Hybrid,Manual,32887
Suzuki,Yellow,Petrol,Automatic,37028
Suzuki,Black,Hybrid,Manual,79272
Mercedes,Red,Hybrid,Manual,20501
Suzuki,Black,Hybrid,Manual,18295
Hyundai,Green,Electric,Manual,44799
Kia,Gray,Hybrid,Automatic,64283
Suzuki,Silver,Petrol,Automatic,16270
Audi,Red,Electric,Manual,57607
Honda,Red,Petrol,Manual,28065
Toyota,Black,Diesel,Manual,46035
Honda,White,Hybrid,Automatic,65259
Kia,Black,Petrol,Manual,78223
Hyundai,Blue,Petrol,Automatic,52735
Suzuki,Green,Diesel,Manual,53803
BMW,Blue,Electric,Manual,67181
Mercedes,Red,Electric,Automatic,58353
Kia,Blue,Electric,Manual,70677
Suzuki,Yellow,Petrol,Automatic,77966
Kia,Yellow,Diesel,Automatic,26543
Audi,Silver,Hybrid,Automatic,43545
Mercedes,Silver,Electric,Manual,69442
Honda,Silver,Hybrid,Manual,64183
Nissan,Green,Electric,Manual,47394
Kia,Black,Hybrid,Manual,38253
Hyundai,Gray,Electric,Automatic,51424
Toyota,White,Petrol,Manual,62190
Suzuki,Yellow,Diesel,Automatic,57329
Nissan,Yellow,Petrol,Manual,34283
BMW,Green,Diesel,Automatic,58513
Mercedes,Gray,Hybrid,Automatic,42885
Audi,Gray,Electric,Automatic,32754
Hyundai,Silver,Diesel,Manual,62270
BMW,Gray,Petrol,Manual,27552
BMW,Yellow,Electric,Automatic,79258
Honda,White,Electric,Manual,38650
Ford,Silver,Petrol,Manual,32977
Toyota,Red,Electric,Manual,56803
Nissan,Blue,Petrol,Automatic,45762
Nissan,Yellow,Electric,Manual,78274
Toyota,Silver,Hybrid,Manual,68878
Honda,Green,Hybrid,Manual,52815
Toyota,Black,Diesel,Automatic,20582
BMW,Blue,Hybrid,Manual,65835
Audi,Green,Hybrid,Automatic,34487
Mercedes,Green,Electric,Manual,54952
Honda,White,Diesel,Automatic,58281
Honda,Black,Diesel,Manual,51175
Honda,Black,Petrol,Automatic,44524
Mercedes,Yellow,Electric,Manual,30170
Hyundai,Silver,Hybrid,Manual,60048
BMW,Silver,Diesel,Automatic,22521
Audi,White,Diesel,Automatic,69174
Ford,Blue,Petrol,Manual,66945
Hyundai,Silver,Hybrid,Manual,45716
Hyundai,Green,Electric,Automatic,43688
Honda,Red,Hybrid,Automatic,54564
Hyundai,Red,Petrol,Manual,78039
Mercedes,Red,Electric,Manual,65011
Ford,Yellow,Hybrid,Automatic,26894
Mercedes,Green,Hybrid,Manual,45802
Kia,Green,Electric,Automatic,58917
Honda,Black,Electric,Automatic,60460
Nissan,Silver,Hybrid,Manual,44807
Honda,Gray,Electric,Automatic,22597
Suzuki,Red,Hybrid,Automatic,18552
BMW,Gray,Hybrid,Automatic,64806
Toyota,White,Electric,Manual,75795
Hyundai,Yellow,Hybrid,Manual,16891
Mercedes,White,Diesel,Automatic,51099
Toyota,Green,Petrol,Manual,70142
Honda,Yellow,Petrol,Manual,47661
Hyundai,Silver,Hybrid,Automatic,79241
Nissan,White,Hybrid,Manual,40138
BMW,Black,Petrol,Automatic,65638
Suzuki,Gray,Electric,Manual,33536
Hyundai,Yellow,Diesel,Automatic,50296
Nissan,Gray,Electric,Automatic,44841
Kia,White,Diesel,Automatic,30306
Suzuki,Red,Electric,Automatic,61217
Suzuki,Green,Diesel,Automatic,78230
Toyota,Black,Electric,Manual,72290
Nissan,Blue,Hybrid,Manual,62346
Ford,Green,Diesel,Manual,45768
Hyundai,Gray,Hybrid,Manual,70821
Kia,Green,Electric,Automatic,72172
Audi,Red,Petrol,Manual,56363
Hyundai,White,Petrol,Automatic,79116
Honda,Blue,Hybrid,Manual,60482
Hyundai,Red,Petrol,Automatic,67176
Toyota,Silver,Electric,Automatic,43225
Ford,White,Hybrid,Manual,26140
Ford,Blue,Hybrid,Manual,47615
Mercedes,Black,Diesel,Automatic,56805
Hyundai,Yellow,Electric,Manual,73910
Nissan,Silver,Diesel,Manual,43949
Kia,Silver,Hybrid,Automatic,44939
Hyundai,White,Hybrid,Automatic,21989
