survived,pclass,age,sibsp,parch,adult_male,alone,fare_log,embarked_Q,embarked_S,sex_male
0,3,22.0,1,0,1,0,2.1102132003465894,0.0,1.0,1.0
1,1,38.0,1,0,0,0,4.2805931204649,0.0,0.0,0.0
1,3,26.0,0,0,0,1,2.188856327665703,0.0,1.0,0.0
1,1,35.0,1,0,0,0,3.9908341858524357,0.0,1.0,0.0
0,3,35.0,0,0,1,1,2.2027647577118348,0.0,1.0,1.0
0,3,28.0,0,0,1,1,2.246892662898172,1.0,0.0,1.0
0,1,54.0,0,0,1,1,3.967694202798607,0.0,1.0,1.0
0,3,2.0,3,1,0,0,3.0944457464900235,0.0,1.0,1.0
1,3,27.0,0,2,0,0,2.495953738718064,0.0,1.0,0.0
1,2,14.0,1,0,0,0,3.436268471383741,0.0,0.0,0.0
1,3,4.0,1,1,0,0,2.8735646395797834,0.0,1.0,0.0
1,1,58.0,0,0,0,1,3.3160025355989236,0.0,1.0,0.0
0,3,20.0,0,0,1,1,2.2027647577118348,0.0,1.0,1.0
0,3,39.0,1,5,1,0,3.4742929367327062,0.0,1.0,1.0
0,3,14.0,0,0,0,1,2.180891922715322,0.0,1.0,0.0
1,2,55.0,0,0,0,1,2.833213344056216,0.0,1.0,0.0
0,3,2.0,4,1,0,0,3.405355391810819,1.0,0.0,1.0
1,2,28.0,0,0,1,1,2.6390573296152584,0.0,1.0,1.0
0,3,31.0,1,0,0,0,2.9444389791664403,0.0,1.0,0.0
1,3,28.0,0,0,0,1,2.1071782966514356,0.0,0.0,0.0
0,2,35.0,0,0,1,1,3.295836866004329,0.0,1.0,1.0
1,2,34.0,0,0,1,1,2.6390573296152584,0.0,1.0,1.0
1,3,15.0,0,0,0,1,2.2004637699272855,1.0,0.0,0.0
1,1,28.0,0,0,1,1,3.597312260588446,0.0,1.0,1.0
0,3,8.0,3,1,0,0,3.0944457464900235,0.0,1.0,0.0
1,3,38.0,1,5,0,0,3.4777725458882283,0.0,1.0,0.0
0,3,28.0,0,0,1,1,2.1071782966514356,0.0,0.0,1.0
0,1,19.0,3,2,1,0,5.575949103146316,0.0,1.0,1.0
1,3,28.0,0,0,0,1,2.1837114628556327,1.0,0.0,0.0
0,3,28.0,0,0,1,1,2.1855792552411137,0.0,1.0,1.0
0,1,40.0,0,0,1,1,3.357621598945279,0.0,0.0,1.0
1,1,28.0,1,0,0,0,4.993969182787072,0.0,0.0,0.0
1,3,28.0,0,0,0,1,2.169053700369523,1.0,0.0,0.0
0,2,66.0,0,0,1,1,2.4423470353692043,0.0,1.0,1.0
0,1,28.0,1,0,1,0,4.420896324687287,0.0,0.0,1.0
0,1,42.0,1,0,1,0,3.970291913552122,0.0,1.0,1.0
1,3,28.0,0,0,1,1,2.1076888046179385,0.0,0.0,1.0
0,3,21.0,0,0,1,1,2.2027647577118348,0.0,1.0,1.0
0,3,18.0,2,0,0,0,2.9444389791664403,0.0,1.0,0.0
1,3,14.0,1,0,0,0,2.5048481563289,0.0,0.0,0.0
0,3,40.0,1,0,0,0,2.348991465808201,0.0,1.0,0.0
0,2,27.0,1,0,0,0,3.091042453358316,0.0,1.0,0.0
0,3,28.0,0,0,1,1,2.1855792552411137,0.0,0.0,1.0
1,2,3.0,1,2,0,0,3.7513658711253766,0.0,0.0,0.0
1,3,19.0,0,0,0,1,2.1837114628556327,1.0,0.0,0.0
0,3,28.0,0,0,1,1,2.2027647577118348,0.0,1.0,1.0
0,3,28.0,1,0,1,0,2.803360380906535,1.0,0.0,1.0
1,3,28.0,0,0,0,1,2.169053700369523,1.0,0.0,0.0
0,3,28.0,2,0,1,0,3.1214482048688246,0.0,0.0,1.0
0,3,18.0,1,0,0,0,2.9338568698359038,0.0,1.0,0.0
0,3,7.0,4,1,0,0,3.705920919968788,0.0,1.0,1.0
0,3,21.0,0,0,1,1,2.174751721484161,0.0,1.0,1.0
1,1,49.0,1,0,0,0,4.353230991152628,0.0,0.0,0.0
1,2,29.0,1,0,0,0,3.295836866004329,0.0,1.0,0.0
0,1,65.0,0,1,1,0,4.142804513146981,0.0,0.0,1.0
1,1,28.0,0,0,1,1,3.597312260588446,0.0,1.0,1.0
1,2,21.0,0,0,0,1,2.4423470353692043,0.0,1.0,0.0
0,3,28.5,0,0,1,1,2.1076888046179385,0.0,0.0,1.0
1,2,5.0,1,2,0,0,3.3586377672433594,0.0,1.0,0.0
0,3,11.0,5,2,0,0,3.8691155044168695,0.0,1.0,1.0
0,3,22.0,0,0,1,1,2.1076888046179385,0.0,0.0,1.0
0,1,45.0,1,0,1,0,4.436455632600354,0.0,1.0,1.0
0,3,4.0,3,2,0,0,3.3638415951183864,0.0,1.0,1.0
0,1,28.0,0,0,1,1,3.357621598945279,0.0,0.0,1.0
1,3,28.0,1,1,1,0,2.7878344138303452,0.0,0.0,1.0
1,2,29.0,0,0,0,1,2.4423470353692043,0.0,1.0,0.0
0,3,19.0,0,0,1,1,2.2146605719425225,0.0,1.0,1.0
1,3,17.0,4,2,0,0,2.188856327665703,0.0,1.0,0.0
0,3,26.0,2,0,1,0,2.2682524139135403,0.0,1.0,1.0
0,2,32.0,0,0,1,1,2.4423470353692043,0.0,1.0,1.0
0,3,16.0,5,2,0,0,3.8691155044168695,0.0,1.0,0.0
0,2,21.0,0,0,1,1,4.310799125385514,0.0,1.0,1.0
0,3,26.0,1,0,1,0,2.737880811060884,0.0,0.0,1.0
1,3,32.0,0,0,1,1,4.05171190165724,0.0,1.0,1.0
0,3,25.0,0,0,1,1,2.157559320943788,0.0,1.0,1.0
0,3,28.0,0,0,1,1,2.1855792552411137,0.0,1.0,1.0
0,3,28.0,0,0,1,1,2.2027647577118348,0.0,1.0,1.0
1,2,0.83,0,2,0,0,3.4011973816621555,0.0,1.0,1.0
1,3,30.0,0,0,0,1,2.600836116795061,0.0,1.0,0.0
0,3,22.0,0,0,1,1,2.302585092994046,0.0,1.0,1.0
1,3,29.0,0,0,1,1,2.3513752571634776,0.0,1.0,1.0
1,3,28.0,0,0,0,1,2.1733302571367834,1.0,0.0,0.0
0,1,28.0,0,0,1,1,3.8732821771117156,0.0,1.0,1.0
1,2,17.0,0,0,0,1,2.4423470353692043,0.0,1.0,0.0
1,3,33.0,3,0,0,0,2.8243506567983707,0.0,1.0,0.0
0,3,16.0,1,3,1,0,3.5660053559634015,0.0,1.0,1.0
0,3,28.0,0,0,1,1,2.2027647577118348,0.0,1.0,1.0
1,1,23.0,3,2,0,0,5.575949103146316,0.0,1.0,0.0
0,3,24.0,0,0,1,1,2.2027647577118348,0.0,1.0,1.0
0,3,29.0,0,0,1,1,2.2027647577118348,0.0,1.0,1.0
0,3,20.0,0,0,1,1,2.180891922715322,0.0,1.0,1.0
0,1,46.0,1,0,1,0,4.1299529896894684,0.0,1.0,1.0
0,3,26.0,1,2,1,0,3.0715352369694915,0.0,1.0,1.0
0,3,59.0,0,0,1,1,2.1102132003465894,0.0,1.0,1.0
0,3,28.0,0,0,1,1,2.2027647577118348,0.0,1.0,1.0
0,1,71.0,0,0,1,1,3.57386695198272,0.0,0.0,1.0
1,1,23.0,0,1,1,0,4.164465907853638,0.0,0.0,1.0
1,2,34.0,0,1,0,0,3.1780538303479458,0.0,1.0,0.0
0,2,34.0,1,0,1,0,3.295836866004329,0.0,1.0,1.0
0,3,28.0,0,0,0,1,2.1855792552411137,0.0,1.0,0.0
0,3,28.0,0,0,1,1,2.1855792552411137,0.0,1.0,1.0
0,1,21.0,0,1,1,0,4.360387947851531,0.0,1.0,1.0
0,3,33.0,0,0,1,1,2.267393053825037,0.0,1.0,1.0
0,3,37.0,2,0,1,0,2.188856327665703,0.0,1.0,1.0
0,3,28.0,0,0,1,1,2.1855792552411137,0.0,1.0,1.0
1,3,21.0,0,0,0,1,2.157559320943788,0.0,1.0,0.0
1,3,28.0,0,0,1,1,2.1719067693519296,0.0,1.0,1.0
0,3,38.0,0,0,1,1,2.1855792552411137,0.0,1.0,1.0
1,3,28.0,1,0,0,0,3.224857896545748,1.0,0.0,0.0
0,1,47.0,0,0,1,1,3.970291913552122,0.0,1.0,1.0
0,3,14.5,1,0,0,0,2.737880811060884,0.0,0.0,0.0
0,3,22.0,0,0,1,1,2.2027647577118348,0.0,1.0,1.0
0,3,20.0,1,0,0,0,2.3818582738885534,0.0,1.0,0.0
0,3,17.0,0,0,0,1,2.738146075922933,0.0,0.0,0.0
0,3,21.0,0,0,1,1,2.188856327665703,0.0,1.0,1.0
0,3,70.5,0,0,1,1,2.169053700369523,1.0,0.0,1.0
0,2,29.0,1,0,1,0,3.091042453358316,0.0,1.0,1.0
0,1,24.0,0,1,1,0,5.515526544247129,0.0,0.0,1.0
0,3,2.0,4,2,0,0,3.4742929367327062,0.0,1.0,0.0
0,2,21.0,2,0,1,0,4.310799125385514,0.0,1.0,1.0
0,3,28.0,0,0,1,1,2.2027647577118348,0.0,1.0,1.0
0,2,32.5,1,0,1,0,3.436268471383741,0.0,0.0,1.0
1,2,32.5,0,0,0,1,2.6390573296152584,0.0,1.0,0.0
0,1,54.0,0,1,1,0,4.360387947851531,0.0,1.0,1.0
1,3,12.0,1,0,0,0,2.5048481563289,0.0,0.0,1.0
0,3,28.0,0,0,1,1,2.169053700369523,1.0,0.0,1.0
1,3,24.0,0,0,1,1,2.0969990034181696,0.0,1.0,1.0
1,3,28.0,1,1,0,0,3.1509523813392697,0.0,0.0,0.0
0,3,45.0,0,0,1,1,2.076311648670908,0.0,1.0,1.0
0,3,33.0,0,0,1,1,2.1855792552411137,0.0,0.0,1.0
0,3,20.0,0,0,1,1,2.0856720914304723,0.0,1.0,1.0
0,3,47.0,1,0,0,0,2.740840023925201,0.0,1.0,0.0
1,2,29.0,1,0,0,0,3.295836866004329,0.0,1.0,0.0
0,2,25.0,0,0,1,1,2.6390573296152584,0.0,1.0,1.0
0,2,23.0,0,0,1,1,2.775447133088262,0.0,0.0,1.0
1,1,19.0,0,2,0,0,3.3062747934011893,0.0,1.0,0.0
0,1,37.0,1,0,1,0,3.9908341858524357,0.0,1.0,1.0
0,3,16.0,0,0,1,1,2.3240236363515288,0.0,1.0,1.0
0,1,24.0,0,0,1,1,4.384523514872469,0.0,0.0,1.0
0,3,28.0,0,2,0,0,2.7878344138303452,0.0,0.0,0.0
1,3,22.0,0,0,0,1,2.169053700369523,0.0,1.0,0.0
1,3,24.0,1,0,0,0,2.8243506567983707,0.0,1.0,0.0
0,3,19.0,0,0,1,1,2.0476928433652555,1.0,0.0,1.0
0,2,18.0,0,0,1,1,2.5257286443082556,0.0,1.0,1.0
0,2,19.0,1,1,1,0,3.6309854756950335,0.0,1.0,1.0
1,3,27.0,0,0,1,1,2.174274334826008,0.0,1.0,1.0
0,3,9.0,2,2,0,0,3.5660053559634015,0.0,1.0,0.0
0,2,36.5,0,2,1,0,3.295836866004329,0.0,1.0,1.0
0,2,42.0,0,0,1,1,2.6390573296152584,0.0,1.0,1.0
0,2,51.0,0,0,1,1,2.6045398247325453,0.0,1.0,1.0
1,1,22.0,1,0,0,0,4.213607983048918,0.0,1.0,0.0
0,3,55.5,0,0,1,1,2.2027647577118348,0.0,1.0,1.0
0,3,40.5,0,2,1,0,2.740840023925201,0.0,1.0,1.0
0,3,28.0,0,0,1,1,2.1177604059819726,0.0,1.0,1.0
0,1,51.0,0,1,1,0,4.133231886474144,0.0,0.0,1.0
1,3,16.0,0,0,0,1,2.167143305297764,1.0,0.0,0.0
0,3,30.0,0,0,1,1,2.2027647577118348,0.0,1.0,1.0
0,3,28.0,0,0,1,1,2.2682524139135403,0.0,1.0,1.0
0,3,28.0,8,2,1,0,4.256321678298823,0.0,1.0,1.0
0,3,44.0,0,1,1,0,2.8390784635086144,0.0,1.0,1.0
1,2,40.0,0,0,0,1,2.8183982582710754,0.0,1.0,0.0
0,3,26.0,0,0,1,1,2.1719067693519296,0.0,1.0,1.0
0,3,17.0,0,0,1,1,2.2682524139135403,0.0,1.0,1.0
0,3,1.0,4,1,0,0,3.705920919968788,0.0,1.0,1.0
1,3,9.0,0,2,0,0,3.0692150503137943,0.0,1.0,1.0
1,1,28.0,0,1,0,0,4.02535169073515,0.0,1.0,0.0
0,3,45.0,1,4,0,0,3.3638415951183864,0.0,1.0,0.0
0,1,28.0,0,0,1,1,3.2930552230424524,0.0,1.0,1.0
0,3,28.0,0,0,1,1,4.05171190165724,0.0,1.0,1.0
0,1,61.0,0,0,1,1,3.5409593240373143,0.0,1.0,1.0
0,3,4.0,4,1,0,0,3.405355391810819,1.0,0.0,1.0
1,3,1.0,1,1,0,0,2.495953738718064,0.0,1.0,0.0
0,3,21.0,0,0,1,1,2.188856327665703,0.0,1.0,1.0
0,1,56.0,0,0,1,1,3.4561841799918147,0.0,0.0,1.0
0,3,18.0,1,1,1,0,2.180891922715322,0.0,1.0,1.0
0,3,28.0,3,1,1,0,3.275887339030031,0.0,1.0,1.0
0,1,50.0,0,0,0,1,3.391567832686312,0.0,0.0,0.0
0,2,30.0,0,0,1,1,2.6390573296152584,0.0,1.0,1.0
0,3,36.0,0,0,1,1,0.0,0.0,1.0,1.0
0,3,28.0,8,2,0,0,4.256321678298823,0.0,1.0,0.0
0,2,28.0,0,0,1,1,2.775708849576025,0.0,0.0,1.0
0,3,9.0,4,2,0,0,3.4777725458882283,0.0,1.0,1.0
1,2,1.0,2,1,0,0,3.6888794541139363,0.0,1.0,1.0
1,3,4.0,0,2,0,0,3.1365805821413706,0.0,1.0,0.0
0,1,28.0,0,0,1,1,3.9318256327243257,0.0,1.0,1.0
1,3,28.0,1,0,0,0,2.803360380906535,1.0,0.0,0.0
1,1,45.0,0,0,1,1,3.3160025355989236,0.0,1.0,1.0
0,3,40.0,1,1,1,0,2.803360380906535,1.0,0.0,1.0
0,3,36.0,0,0,1,1,2.1855792552411137,0.0,1.0,1.0
1,2,32.0,0,0,0,1,2.6390573296152584,0.0,1.0,0.0
0,2,19.0,0,0,1,1,2.6390573296152584,0.0,1.0,1.0
1,3,19.0,1,0,0,0,2.180891922715322,0.0,1.0,0.0
1,2,3.0,1,1,0,0,3.295836866004329,0.0,1.0,1.0
1,1,44.0,0,0,0,1,3.357621598945279,0.0,0.0,0.0
1,1,58.0,0,0,0,1,4.993969182787072,0.0,0.0,0.0
0,3,28.0,0,0,1,1,2.169053700369523,1.0,0.0,1.0
0,3,42.0,0,1,1,0,2.2411563979973974,0.0,1.0,1.0
1,3,28.0,0,0,0,1,2.169053700369523,1.0,0.0,0.0
0,2,24.0,0,0,0,1,2.6390573296152584,0.0,1.0,0.0
0,3,28.0,0,0,1,1,2.3513752571634776,0.0,1.0,1.0
0,3,28.0,8,2,1,0,4.256321678298823,0.0,1.0,1.0
0,3,34.0,0,0,1,1,2.0143428636837015,0.0,1.0,1.0
0,3,45.5,0,0,1,1,2.1071782966514356,0.0,0.0,1.0
1,3,18.0,0,0,1,1,2.2027647577118348,0.0,1.0,1.0
0,3,2.0,0,1,0,0,2.4390808375825834,0.0,1.0,0.0
0,3,32.0,1,0,1,0,2.8243506567983707,0.0,1.0,1.0
1,3,26.0,0,0,1,1,2.9850504252071306,0.0,0.0,1.0
1,3,16.0,0,0,0,1,2.169053700369523,1.0,0.0,0.0
1,1,40.0,0,0,1,1,3.4657359027997265,0.0,0.0,1.0
0,3,24.0,0,0,1,1,2.0856720914304723,0.0,1.0,1.0
1,2,35.0,0,0,0,1,3.091042453358316,0.0,1.0,0.0
